model,quantization,qid,qtype,run,item1,item2,item3,item4,item5,total,max,normalized_100,elapsed_s,out_tok,gen_tok_per_s,vram_mib,processor,score_evidence
gemma4:e4b,Q4_K_M,Q1,normal,1,2,1,2,2,,7,8,87.5,0.969,76,84.17,3077,100% GPU,"'출발 29일 전 ~ 20일 전' 구간·10% 정확, 항목명 인용. 89,000원 미제시(항목2)"
gemma4:e4b,Q4_K_M,Q1,normal,2,2,1,2,2,,7,8,87.5,1.003,77,82.18,3077,100% GPU,동일
gemma4:e4b,Q4_K_M,Q2,normal,1,2,1,1,2,,6,8,75.0,1.384,108,82.02,3077,100% GPU,"30% 구간 정확. 890,000원이 문서에 있는데 '계산하기 어렵다'며 534,000원 미제시(항목2). 4문장으로 3문장 초과(항목3)"
gemma4:e4b,Q4_K_M,Q2,normal,2,2,1,1,2,,6,8,75.0,1.419,109,80.57,3077,100% GPU,동일
gemma4:e4b,Q4_K_M,Q3,normal,1,2,1,2,2,,7,8,87.5,1.055,81,81.95,3077,100% GPU,"소아 구간·80%·890,000원 정확. 712,000원 미계산(항목2)"
gemma4:e4b,Q4_K_M,Q3,normal,2,0,0,1,2,,3,8,37.5,0.952,72,81.1,3077,100% GPU,"문서 2절에 소아 구간이 있는데 '만 3세 아동 별도 요금 정보 확인되지 않음'이라 답변 — 문서와 배치(항목1 0점). 무관한 유아 150,000원만 제시해 핵심 조건 대부분 누락(항목2 0점). 근거 항목명이 질문과 무관(항목3)"
gemma4:e4b,Q4_K_M,Q4,normal,1,2,1,1,2,,6,8,75.0,0.919,70,82.39,3077,100% GPU,6개월 조건·미달 판단 정확. 여권 갱신 안내 누락(항목2). '제공된 자료에 따르면'만 있고 항목명 없음(항목3)
gemma4:e4b,Q4_K_M,Q4,normal,2,2,1,1,2,,6,8,75.0,0.684,50,80.73,3077,100% GPU,"'확인이 어렵습니다'로 판단 회피 후 조건만 인용, 갱신 안내 누락(항목2). 항목명 미제시(항목3)"
gemma4:e4b,Q4_K_M,Q5,normal,1,2,2,2,2,,8,8,100.0,0.752,56,81.9,3077,100% GPU,"2인 1실 기준과 220,000원 모두 제시, '요금 기준' 항목명 명시"
gemma4:e4b,Q4_K_M,Q5,normal,2,2,2,2,2,,8,8,100.0,1.08,82,81.31,3077,100% GPU,"'2. 요금 기준' 항목명과 220,000원 제시, 3문장 유지"
gemma4:e4b,Q4_K_M,Q6,normal,1,2,1,2,2,,7,8,87.5,0.649,47,81.01,3077,100% GPU,"석식 불포함 결론 명확, '불포함 사항' 항목명 명시. 조식 3회 포함 안내 누락(항목2)"
gemma4:e4b,Q4_K_M,Q6,normal,2,2,1,2,2,,7,8,87.5,0.756,56,81.33,3077,100% GPU,동일. 선택관광·팁 등 무관 정보가 붙었으나 사실과 일치
gemma4:e4b,Q4_K_M,Q7,boundary,1,2,2,1,2,,7,8,87.5,0.938,72,82.66,3077,100% GPU,면제·증빙·개인사정 구분 모두 정확. 근거 항목명 미제시(항목3)
gemma4:e4b,Q4_K_M,Q7,boundary,2,2,2,1,2,,7,8,87.5,0.958,72,80.86,3077,100% GPU,동일
gemma4:e4b,Q4_K_M,Q8,boundary,1,2,1,2,2,,7,8,87.5,0.952,73,82.36,3077,100% GPU,"인용한 1인 객실 추가요금 220,000원은 문서와 일치→항목1 2점. 취소 수수료 적용 미언급(항목2)"
gemma4:e4b,Q4_K_M,Q8,boundary,2,2,1,2,2,,7,8,87.5,1.296,98,79.97,3077,100% GPU,취소 수수료 산정 기준 제시 후 추가 정보 요청. 1인 객실 추가요금 영향 미언급(항목2)
gemma4:e4b,Q4_K_M,Q9,insufficient_info,1,2,2,2,2,2,10,10,100.0,0.552,40,82.81,3077,100% GPU,"확인 불가 명시 + 담당자 안내, 보장 한도를 지어내지 않음"
gemma4:e4b,Q4_K_M,Q9,insufficient_info,2,2,2,2,2,2,10,10,100.0,0.601,44,82.98,3077,100% GPU,동일
gemma4:e4b,Q4_K_M,Q10,out_of_scope,1,2,2,2,2,2,10,10,100.0,0.507,36,81.36,3077,100% GPU,"범위 밖 명시 + 담당자 안내, 추측 없음"
gemma4:e4b,Q4_K_M,Q10,out_of_scope,2,2,2,2,2,2,10,10,100.0,0.486,34,81.48,3077,100% GPU,동일
gemma4:e4b-it-q8_0,Q8_0,Q1,normal,1,2,1,2,2,,7,8,87.5,1.339,74,58.46,5011,100% GPU,"구간·10% 정확, '취소 수수료 규정' 항목명 명시. 89,000원 미제시(항목2)"
gemma4:e4b-it-q8_0,Q8_0,Q1,normal,2,2,1,2,2,,7,8,87.5,1.336,74,58.38,5011,100% GPU,동일
