model,qid,qtype,run,item1_정확성,item2_핵심정보누락,item3_지시형식준수,item4_한국어표현,item5_정보부족대응,획득점,만점,환산100,score_evidence,answer
gemma4:e4b,Q1,normal,1,2,1,2,2,,7,8,87.5,"구간·10% 정확, 항목명 인용. 89,000원 미제시(항목2)","출발 25일 전 취소 시에는 '출발 29일 전 ~ 20일 전'에 해당하는 수수료율인 요금의 10%가 부과됩니다. 이 수수료는 '출발일 기준 잔여일수'에 따라 계산되며, 인원별로 각각 적용됩니다."
gemma4:e4b,Q1,normal,2,2,1,2,2,,7,8,87.5,동일,"출발 25일 전 취소 시에는 '출발 29일 전 ~ 20일 전' 구간에 해당하여 **요금의 10%**가 취소 수수료로 부과됩니다. 이 수수료는 요금 총액을 기준으로 계산되며, 인원별로 각각 적용됩니다."
gemma4:e4b,Q2,normal,1,2,2,2,2,,8,8,100.0,"30% 구간·1,780,000원·534,000원까지 계산 완결","출발 6일 전 취소 시에는 '출발 9일 전 ~ 4일 전'에 해당하는 수수료율인 요금의 30%가 부과됩니다. 성인 1인 요금은 '상품 개요' 항목에 명시된 890,000원이며, 2인 기준 총액은 1,780,000원입니다. 따라서 총 수수료는 1,780,000원의 30%인 534,000원이 됩니다."
gemma4:e4b,Q2,normal,2,2,2,2,2,,8,8,100.0,동일,"출발 6일 전 취소 시에는 '출발 9일 전 ~ 4일 전'에 해당하는 수수료율인 요금의 30%가 적용됩니다. 성인 1인 요금은 '상품 개요' 항목에 따라 890,000원이며, 2인 기준 총액은 1,780,000원입니다. 따라서 총 수수료는 1,780,000원의 30%인 534,000원이 발생합니다."
gemma4:e4b,Q3,normal,1,2,1,2,1,,6,8,75.0,"소아 구간 정확. 712,000원 미계산(항목2). '80%를 계산해야 합니다'로 고객에게 계산을 떠넘김(항목4)","제공된 자료에 따르면, 만 3세 아동은 '소아(만 2세 이상 ~ 만 12세 미만)'에 해당하여 성인 요금의 80%가 적용됩니다. 따라서 정확한 금액은 성인 요금(890,000원)의 80%를 계산해야 합니다."
gemma4:e4b,Q3,normal,2,2,1,2,2,,7,8,87.5,"소아 80% 정확. 712,000원 미계산. 질문과 무관한 유아 요금 언급","제공된 자료에 따르면, 만 2세 미만 유아의 요금은 150,000원이며 좌석 및 별도 침대는 제공되지 않습니다. 만 3세 아동에 해당하는 소아 요금은 성인 요금의 80%가 적용됩니다. 정확한 계산을 위해 담당자 확인을 부탁드립니다."
gemma4:e4b,Q4,normal,1,2,1,2,2,,7,8,87.5,진술 자체는 문서와 일치→항목1 2점. 판단·갱신 안내 누락은 항목2에서만 감점,제공된 자료로는 확인이 어렵습니다. 여권의 잔여 유효기간은 **출국일 기준 6개월 이상** 남아 있어야 한다고 안내되어 있습니다. 따라서 담당자 확인을 받아보시는 것이 좋겠습니다.
gemma4:e4b,Q4,normal,2,2,1,2,2,,7,8,87.5,동일,제공된 자료로는 확인이 어렵습니다. 여권의 잔여 유효기간은 **출국일 기준 6개월 이상** 남아 있어야 한다고 안내되어 있습니다. 정확한 확인을 위해 담당자에게 문의해 주시기 바랍니다.
gemma4:e4b,Q5,normal,1,2,2,2,2,,8,8,100.0,"2인 1실 기준과 220,000원 모두 제시","네, 1인 객실 사용 시에는 '2인 1실' 기준에서 벗어나기 때문에 추가 요금이 발생합니다. 해당 요금은 '1인 객실 사용 시' 항목에 따라 220,000원이 추가됩니다."
gemma4:e4b,Q5,normal,2,2,2,2,2,,8,8,100.0,동일,"네, 고객님께서 1인으로 객실을 사용하실 경우 '2인 1실' 기준에 따라 '1인 객실 사용 시' 항목의 추가 요금이 발생합니다. 해당 추가 요금은 '220,000원'입니다."
gemma4:e4b,Q6,normal,1,2,1,2,2,,7,8,87.5,석식 불포함 명확. 조식 3회 포함 안내 누락(항목2),"제공된 자료에 따르면, 중식 및 석식은 '불포함 사항'에 해당하여 요금에 포함되어 있지 않습니다. 따라서 저녁 식사는 별도로 준비하셔야 합니다."
gemma4:e4b,Q6,normal,2,2,1,2,2,,7,8,87.5,동일,"제공된 자료에 따르면, 중식 및 석식은 '불포함 사항'에 해당하여 요금에 포함되어 있지 않습니다. 따라서 저녁 식사는 별도로 준비하셔야 합니다."
gemma4:e4b,Q7,boundary,1,2,2,1,2,,7,8,87.5,면제·증빙·개인사정 구분 모두 정확. 근거 항목명 미제시(항목3),"천재지변으로 인해 여행이 불가능해진 경우 취소 수수료는 면제됩니다. 다만, 항공사 결항이나 기상 특보 발효와 같은 경우 증빙 자료를 제출해 주셔야 합니다. 개인 사정으로 인한 미탑승은 이 조항의 적용 대상이 아니니 참고 부탁드립니다."
gemma4:e4b,Q7,boundary,2,2,2,1,2,,7,8,87.5,동일,"천재지변으로 인해 여행이 불가능해진 경우 취소 수수료는 면제됩니다. 다만, 항공사 결항이나 기상 특보 발효와 같은 경우 증빙 자료를 제출해 주셔야 합니다. 개인 사정으로 인한 미탑승은 이 조항의 적용 대상이 아니니 참고 부탁드립니다."
gemma4:e4b,Q8,boundary,1,2,1,2,2,,7,8,87.5,단정하지 않음. 1인 객실 추가요금 영향 미언급(항목2),"고객님께서 예약하신 인원 중 일부가 불참하게 되신 경우, '취소 수수료 규정'에 따라 수수료가 부과됩니다. 수수료는 '요금 총액'을 기준으로 계산하며, 인원별로 각각 적용됩니다. 정확한 수수료를 확인하시려면, 현재 시점과 불참하시는 분의 인원수에 따라 '취소 수수료 규정'을 확인해 주시거나 담당 상담원에게 문의해 주시면 감사하겠습니다."
gemma4:e4b,Q8,boundary,2,2,2,2,2,,8,8,100.0,"1인 객실 추가요금 220,000원과 취소 수수료 적용 모두 제시","예약 인원 변경으로 인해 1인이 객실을 단독 사용하게 되는 경우, '요금 기준' 항목에 따라 1인 객실 추가 요금 220,000원이 발생합니다. 이 경우, 총 인원 중 한 분이 불참하시게 되면 취소 수수료 규정이 적용되니, 정확한 날짜를 알려주시면 확인해 드리겠습니다."
